iter	Passed	Remaining
400	33375	8493
401	33466	8409
402	33557	8325
403	33656	8242
404	33741	8156
405	33840	8073
406	33958	7995
407	34044	7909
408	34134	7824
409	34204	7734
410	34284	7647
411	34376	7562
412	34506	7486
413	34597	7401
414	34699	7318
415	34817	7239
416	34964	7165
417	35082	7085
418	35186	7002
419	35290	6919
420	35413	6840
421	35514	6756
422	35635	6676
423	35635	6676
424	35635	6676
425	35747	6420
426	35854	6337
427	35951	6252
428	36038	6165
429	36127	6079
430	36207	5991
431	36287	5903
432	36363	5814
433	36439	5726
434	36511	5637
435	36583	5548
436	36659	5459
437	36740	5372
438	36831	5286
439	36934	5202
440	37022	5115
441	37102	5027
442	37196	4942
443	37284	4855
444	37388	4771
445	37479	4684
446	37554	4596
447	37633	4509
448	37710	4421
449	37788	4333
450	37870	4246
451	37949	4158
452	38024	4070
453	38099	3983
454	38176	3895
455	38258	3808
456	38331	3720
457	38405	3632
458	38476	3544
459	38557	3458
460	38635	3370
461	38708	3283
462	38708	3283
463	38805	3111
464	38889	3024
465	38969	2937
466	39056	2851
467	39136	2764
468	39219	2677
469	39287	2590
470	39373	2504
471	39467	2418
472	39541	2331
473	39630	2244
474	39708	2158
475	39783	2071
476	39856	1984
477	39932	1897
478	40006	1810
479	40076	1723
480	40154	1637
481	40154	1637
482	40225	1464
483	40301	1377
484	40397	1292
485	40490	1206
486	40579	1120
487	40662	1033
488	40742	947
489	40817	861
490	40897	774
491	40969	688
492	41052	602
493	41125	516
494	41205	430
495	41286	344
496	41366	258
497	41442	171
498	41519	85
499	41595	0
